n,m,p_max,I,mean,std,min,max
10,10,1,85,1.0,0.0,1.0,1.0
10,10,1,86,1.0,0.0,1.0,1.0
10,10,1,87,1.0,0.0,1.0,1.0
10,10,1,88,1.0,0.0,1.0,1.0
10,10,1,89,1.0,0.0,1.0,1.0
10,10,1,90,1.0,0.0,1.0,1.0
10,10,1,91,1.0,0.0,1.0,1.0
10,10,1,92,1.0,0.0,1.0,1.0
10,10,1,93,1.0,0.0,1.0,1.0
10,10,1,94,1.0,0.0,1.0,1.0
10,10,1,95,1.0,0.0,1.0,1.0
10,10,1,96,1.0,0.0,1.0,1.0
10,10,1,97,1.0,0.0,1.0,1.0
10,10,1,98,1.0,0.0,1.0,1.0
10,10,1,99,1.0,0.0,1.0,1.0
10,10,1,0,1.0,0.0,1.0,1.0
10,10,1,1,1.0,0.0,1.0,1.0
10,10,1,2,1.0,0.0,1.0,1.0
10,10,1,3,1.0,0.0,1.0,1.0
10,10,1,4,1.0,0.0,1.0,1.0
10,10,1,5,1.0,0.0,1.0,1.0
10,10,1,6,1.0,0.0,1.0,1.0
10,10,1,7,1.0,0.0,1.0,1.0
10,10,1,8,1.0,0.0,1.0,1.0
10,10,1,9,1.0,0.0,1.0,1.0
10,10,1,10,1.0,0.0,1.0,1.0
10,10,1,11,1.0,0.0,1.0,1.0
10,10,1,12,1.0,0.0,1.0,1.0
10,10,1,13,1.0,0.0,1.0,1.0
10,10,1,14,1.0,0.0,1.0,1.0
10,10,1,15,1.0,0.0,1.0,1.0
10,10,1,16,1.0,0.0,1.0,1.0
10,10,1,17,1.0,0.0,1.0,1.0
10,10,1,18,1.0,0.0,1.0,1.0
10,10,1,19,1.0,0.0,1.0,1.0
10,10,1,20,1.0,0.0,1.0,1.0
10,10,1,21,1.0,0.0,1.0,1.0
10,10,1,22,1.0,0.0,1.0,1.0
10,10,1,23,1.0,0.0,1.0,1.0
10,10,1,24,1.0,0.0,1.0,1.0
10,10,1,25,1.0,0.0,1.0,1.0
10,10,1,26,1.0,0.0,1.0,1.0
10,10,1,27,1.0,0.0,1.0,1.0
10,10,1,28,1.0,0.0,1.0,1.0
10,10,1,29,1.0,0.0,1.0,1.0
10,10,1,30,1.0,0.0,1.0,1.0
10,10,1,31,1.0,0.0,1.0,1.0
10,10,1,32,1.0,0.0,1.0,1.0
10,10,1,33,1.0,0.0,1.0,1.0
10,10,1,34,1.0,0.0,1.0,1.0
10,10,1,35,1.0,0.0,1.0,1.0
10,10,1,36,1.0,0.0,1.0,1.0
10,10,1,37,1.0,0.0,1.0,1.0
10,10,1,38,1.0,0.0,1.0,1.0
10,10,1,39,1.0,0.0,1.0,1.0
10,10,1,40,1.0,0.0,1.0,1.0
10,10,1,41,1.0,0.0,1.0,1.0
10,10,1,42,1.0,0.0,1.0,1.0
10,10,1,43,1.0,0.0,1.0,1.0
10,10,1,44,1.0,0.0,1.0,1.0
10,10,1,45,1.0,0.0,1.0,1.0
10,10,1,46,1.0,0.0,1.0,1.0
10,10,1,47,1.0,0.0,1.0,1.0
10,10,1,48,1.0,0.0,1.0,1.0
10,10,1,49,1.0,0.0,1.0,1.0
10,10,1,50,1.0,0.0,1.0,1.0
10,10,1,51,1.0,0.0,1.0,1.0
10,10,1,52,1.0,0.0,1.0,1.0
10,10,1,53,1.0,0.0,1.0,1.0
10,10,1,54,1.0,0.0,1.0,1.0
10,10,1,55,1.0,0.0,1.0,1.0
10,10,1,56,1.0,0.0,1.0,1.0
10,10,1,57,1.0,0.0,1.0,1.0
10,10,1,58,1.0,0.0,1.0,1.0
10,10,1,59,1.0,0.0,1.0,1.0
10,10,1,60,1.0,0.0,1.0,1.0
10,10,1,61,1.0,0.0,1.0,1.0
10,10,1,62,1.0,0.0,1.0,1.0
10,10,1,63,1.0,0.0,1.0,1.0
10,10,1,64,1.0,0.0,1.0,1.0
10,10,1,65,1.0,0.0,1.0,1.0
10,10,1,66,1.0,0.0,1.0,1.0
10,10,1,67,1.0,0.0,1.0,1.0
10,10,1,68,1.0,0.0,1.0,1.0
10,10,1,69,1.0,0.0,1.0,1.0
10,10,1,70,1.0,0.0,1.0,1.0
10,10,1,71,1.0,0.0,1.0,1.0
10,10,1,72,1.0,0.0,1.0,1.0
10,10,1,73,1.0,0.0,1.0,1.0
10,10,1,74,1.0,0.0,1.0,1.0
10,10,1,75,1.0,0.0,1.0,1.0
10,10,1,76,1.0,0.0,1.0,1.0
10,10,1,77,1.0,0.0,1.0,1.0
10,10,1,78,1.0,0.0,1.0,1.0
10,10,1,79,1.0,0.0,1.0,1.0
10,10,1,80,1.0,0.0,1.0,1.0
10,10,1,81,1.0,0.0,1.0,1.0
10,10,1,82,1.0,0.0,1.0,1.0
10,10,1,83,1.0,0.0,1.0,1.0
10,10,1,84,1.0,0.0,1.0,1.0
10,10,1,85,1.0,0.0,1.0,1.0
10,10,1,86,1.0,0.0,1.0,1.0
10,10,1,87,1.0,0.0,1.0,1.0
10,10,1,88,1.0,0.0,1.0,1.0
10,10,1,89,1.0,0.0,1.0,1.0
10,10,1,90,1.0,0.0,1.0,1.0
10,10,1,91,1.0,0.0,1.0,1.0
10,10,1,92,1.0,0.0,1.0,1.0
10,10,1,93,1.0,0.0,1.0,1.0
10,10,1,94,1.0,0.0,1.0,1.0
10,10,1,95,1.0,0.0,1.0,1.0
10,10,1,96,1.0,0.0,1.0,1.0
10,10,1,97,1.0,0.0,1.0,1.0
10,10,1,98,1.0,0.0,1.0,1.0
10,10,1,99,1.0,0.0,1.0,1.0
10,10,2,0,1.1,0.0,1.1,1.1
10,10,2,1,1.4,0.0,1.4,1.4
10,10,2,2,1.6,0.0,1.6,1.6
10,10,2,3,1.8,0.0,1.8,1.8
10,10,2,4,1.7,0.0,1.7,1.7
10,10,2,5,1.8,0.0,1.8,1.8
10,10,2,6,1.6,0.0,1.6,1.6
10,10,2,7,1.3,0.0,1.3,1.3
10,10,2,8,1.7,0.0,1.7,1.7
10,10,2,9,1.7,0.0,1.7,1.7
10,10,2,10,1.1,0.0,1.1,1.1
10,10,2,11,1.8,0.0,1.8,1.8
10,10,2,12,1.8,0.0,1.8,1.8
10,10,2,13,1.8,0.0,1.8,1.8
10,10,2,14,1.8,0.0,1.8,1.8
10,10,2,15,1.8,0.0,1.8,1.8
10,10,2,16,1.8,0.0,1.8,1.8
10,10,2,17,1.1,0.0,1.1,1.1
10,10,2,18,1.7,0.0,1.7,1.7
10,10,2,19,1.2,0.0,1.2,1.2
10,10,2,20,1.2,0.0,1.2,1.2
10,10,2,21,1.3,0.0,1.3,1.3
10,10,2,22,1.6,0.0,1.6,1.6
10,10,2,23,1.5,0.0,1.5,1.5
10,10,2,24,1.4,0.0,1.4,1.4
10,10,2,25,1.5,0.0,1.5,1.5
10,10,2,26,1.2,0.0,1.2,1.2
10,10,2,27,1.2,0.0,1.2,1.2
10,10,2,28,1.5,0.0,1.5,1.5
10,10,2,29,1.5,0.0,1.5,1.5
10,10,2,30,1.5,0.0,1.5,1.5
10,10,2,31,1.1,0.0,1.1,1.1
10,10,2,32,1.8,0.0,1.8,1.8
10,10,2,33,1.4,0.0,1.4,1.4
10,10,2,34,1.8,0.0,1.8,1.8
10,10,2,35,1.7,0.0,1.7,1.7
10,10,2,36,1.2,0.0,1.2,1.2
10,10,2,37,1.1,0.0,1.1,1.1
10,10,2,38,1.8,0.0,1.8,1.8
10,10,2,39,1.5,0.0,1.5,1.5
10,10,2,40,1.4,0.0,1.4,1.4
10,10,2,41,1.2,0.0,1.2,1.2
10,10,2,42,1.4,0.0,1.4,1.4
10,10,2,43,1.2,0.0,1.2,1.2
10,10,2,44,1.7,0.0,1.7,1.7
10,10,2,45,1.5,0.0,1.5,1.5
10,10,2,46,1.5,0.0,1.5,1.5
10,10,2,47,1.7,0.0,1.7,1.7
10,10,2,48,1.5,0.0,1.5,1.5
10,10,2,49,1.0,0.0,1.0,1.0
10,10,2,50,1.6,0.0,1.6,1.6
10,10,2,51,1.2,0.0,1.2,1.2
10,10,2,52,1.6,0.0,1.6,1.6
10,10,2,53,1.7,0.0,1.7,1.7
10,10,2,54,1.6,0.0,1.6,1.6
10,10,2,55,1.5,0.0,1.5,1.5
10,10,2,56,1.6,0.0,1.6,1.6
10,10,2,57,1.6,0.0,1.6,1.6
10,10,2,58,1.1,0.0,1.1,1.1
10,10,2,59,1.5,0.0,1.5,1.5
10,10,2,60,1.1,0.0,1.1,1.1
10,10,2,61,1.8,0.0,1.8,1.8
10,10,2,62,1.3,0.0,1.3,1.3
10,10,2,63,1.5,0.0,1.5,1.5
10,10,2,64,1.0,0.0,1.0,1.0
10,10,2,65,1.5,0.0,1.5,1.5
10,10,2,66,1.8,0.0,1.8,1.8
10,10,2,67,1.6,0.0,1.6,1.6
10,10,2,68,1.4,0.0,1.4,1.4
10,10,2,69,1.6,0.0,1.6,1.6
10,10,2,70,1.3,0.0,1.3,1.3
10,10,2,71,1.5,0.0,1.5,1.5
10,10,2,72,1.4,0.0,1.4,1.4
10,10,2,73,1.8,0.0,1.8,1.8
10,10,2,74,1.1,0.0,1.1,1.1
10,10,2,75,1.3,0.0,1.3,1.3
10,10,2,76,1.5,0.0,1.5,1.5
10,10,2,77,1.6,0.0,1.6,1.6
10,10,2,78,1.4,0.0,1.4,1.4
10,10,2,79,1.7,0.0,1.7,1.7
10,10,2,80,1.5,0.0,1.5,1.5
10,10,2,81,1.3,0.0,1.3,1.3
10,10,2,82,1.6,0.0,1.6,1.6
10,10,2,83,1.2,0.0,1.2,1.2
10,10,2,84,1.4,0.0,1.4,1.4
10,10,2,85,1.5,0.0,1.5,1.5
10,10,2,86,1.3,0.0,1.3,1.3
10,10,2,87,1.3,0.0,1.3,1.3
10,10,2,88,1.4,0.0,1.4,1.4
10,10,2,89,1.3,0.0,1.3,1.3
10,10,2,90,1.6,0.0,1.6,1.6
10,10,2,91,1.5,0.0,1.5,1.5
10,10,2,92,1.2,0.0,1.2,1.2
10,10,2,93,1.6,0.0,1.6,1.6
10,10,2,94,1.5,0.0,1.5,1.5
10,10,2,95,1.6,0.0,1.6,1.6
10,10,2,96,1.4,0.0,1.4,1.4
10,10,2,97,1.4,0.0,1.4,1.4
10,10,2,98,1.4,0.0,1.4,1.4
10,10,2,99,1.3,0.0,1.3,1.3
10,10,3,0,1.25,0.0,1.25,1.25
10,10,3,1,1.7,0.0,1.7,1.7
10,10,3,2,2.0,0.0,2.0,2.0
10,10,3,3,2.3,0.0,2.3,2.3
10,10,3,4,1.5,0.0,1.5,1.5
10,10,3,5,1.8,0.0,1.8,1.8
10,10,3,6,2.0,0.0,2.0,2.0
10,10,3,7,2.3,0.0,2.3,2.3
10,10,3,8,1.3,0.0,1.3,1.3
10,10,3,9,1.7,0.0,1.7,1.7
10,10,3,10,1.9,0.0,1.9,1.9
10,10,3,11,2.1,0.0,2.1,2.1
10,10,3,12,1.7,0.0,1.7,1.7
10,10,3,13,1.9,0.0,1.9,1.9
10,10,3,14,2.1,0.0,2.1,2.1
10,10,3,15,1.3,0.0,1.3,1.3
10,10,3,16,2.4,0.0,2.4,2.4
10,10,3,17,2.2,0.0,2.2,2.2
10,10,3,18,1.8,0.0,1.8,1.8
10,10,3,19,2.2,0.0,2.2,2.2
10,10,3,20,2.5,0.0,2.5,2.5
10,10,3,21,1.8,0.0,1.8,1.8
10,10,3,22,1.5,0.0,1.5,1.5
10,10,3,23,1.5,0.0,1.5,1.5
10,10,3,24,1.6,0.0,1.6,1.6
10,10,3,25,2.1,0.0,2.1,2.1
10,10,3,26,2.4,0.0,2.4,2.4
