n,m,p_max,I,mean,std,min,max
10,10,128,115,2.14,0,2.14,2.14
10,10,128,116,1.0,0,1.0,1.0
10,10,128,117,1.0,0,1.0,1.0
10,10,128,118,5.05,0,5.05,5.05
10,10,128,119,1.52,0,1.52,1.52
10,10,128,120,1.0,0,1.0,1.0
10,10,128,121,4.46,0,4.46,4.46
10,10,128,122,1.0,0,1.0,1.0
10,10,128,123,1.86,0,1.86,1.86
10,10,128,124,5.5,0,5.5,5.5
10,10,128,125,5.711111111111111,0,5.711111111111111,5.711111111111111
10,10,128,126,5.013333333333334,0,5.013333333333334,5.013333333333334
10,10,128,127,3.3181818181818183,0,3.3181818181818183,3.3181818181818183
10,10,128,128,2.9,0,2.9,2.9
10,10,128,129,2.3923076923076922,0,2.3923076923076922,2.3923076923076922
10,10,128,130,3.3086956521739133,0,3.3086956521739133,3.3086956521739133
10,10,128,131,1.0,0,1.0,1.0
10,10,128,132,3.8192307692307694,0,3.8192307692307694,3.8192307692307694
10,10,128,133,2.56,0,2.56,2.56
10,10,128,134,1.8,0,1.8,1.8
10,10,128,135,1.5818181818181818,0,1.5818181818181818,1.5818181818181818
10,10,128,136,1.3222222222222222,0,1.3222222222222222,1.3222222222222222
10,10,128,137,3.2,0,3.2,3.2
10,10,128,138,5.711111111111111,0,5.711111111111111,5.711111111111111
10,10,128,139,1.0,0,1.0,1.0
10,10,128,140,1.0,0,1.0,1.0
10,10,128,141,1.0,0,1.0,1.0
10,10,128,142,1.0,0,1.0,1.0
10,10,128,143,3.257142857142857,0,3.257142857142857,3.257142857142857
10,10,128,144,4.533333333333333,0,4.533333333333333,4.533333333333333
10,10,128,145,3.203448275862069,0,3.203448275862069,3.203448275862069
10,10,128,146,3.425,0,3.425,3.425
10,10,128,147,1.58125,0,1.58125,1.58125
10,10,128,148,1.0,0,1.0,1.0
10,10,128,149,6.65,0,6.65,6.65
10,10,128,150,1.8,0,1.8,1.8
10,10,128,151,4.511111111111111,0,4.511111111111111,4.511111111111111
10,10,128,152,1.0,0,1.0,1.0
10,10,128,153,3.1,0,3.1,3.1
10,10,128,154,2.53,0,2.53,2.53
10,10,128,155,2.1555555555555554,0,2.1555555555555554,2.1555555555555554
10,10,128,156,3.1894736842105265,0,3.1894736842105265,3.1894736842105265
10,10,128,157,2.75,0,2.75,2.75
10,10,128,158,2.6055555555555556,0,2.6055555555555556,2.6055555555555556
10,10,128,159,1.7692307692307692,0,1.7692307692307692,1.7692307692307692
10,10,128,160,1.09375,0,1.09375,1.09375
10,10,128,161,1.875,0,1.875,1.875
