alg,n,m,p_max,I,mean,std,min,max
QThreshold,1,10,128,20,7.625,0,7.625,7.625
Random,1,10,128,20,6.125,0.0,6.125,6.125
RandomizedPmax,1,10,128,20,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,21,1.0,0,1.0,1.0
QThreshold,1,10,128,21,13.571428571428571,0,13.571428571428571,13.571428571428571
Random,1,10,128,21,6.0,0.0,6.0,6.0
RandomizedPmax,1,10,128,21,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,22,1.0,0,1.0,1.0
QThreshold,1,10,128,22,9.363636363636363,0,9.363636363636363,9.363636363636363
Random,1,10,128,22,3.3636363636363638,0.0,3.3636363636363638,3.3636363636363638
RandomizedPmax,1,10,128,22,1.1231884057971018,0.8371967498553379,1.0,8.0
FastGreedy,1,10,128,23,1.2826086956521738,0,1.2826086956521738,1.2826086956521738
QThreshold,1,10,128,23,1.0,0,1.0,1.0
Random,1,10,128,23,2.108695652173913,0.0,2.108695652173913,2.108695652173913
RandomizedPmax,1,10,128,23,1.2826086956521738,0.0,1.2826086956521738,1.2826086956521738
FastGreedy,1,10,128,24,1.0,0,1.0,1.0
QThreshold,1,10,128,24,3.0,0,3.0,3.0
Random,1,10,128,24,4.315789473684211,0.0,4.315789473684211,4.315789473684211
RandomizedPmax,1,10,128,24,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,25,2.625,0,2.625,2.625
QThreshold,1,10,128,25,7.6875,0,7.6875,7.6875
Random,1,10,128,25,2.625,0.0,2.625,2.625
RandomizedPmax,1,10,128,25,1.6405120481927689,0.7578432518886439,1.0,2.625
FastGreedy,1,10,128,26,3.25,0,3.25,3.25
QThreshold,1,10,128,26,4.6875,0,4.6875,4.6875
Random,1,10,128,26,4.8125,0.0,4.8125,4.8125
RandomizedPmax,1,10,128,26,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,27,1.2222222222222223,0,1.2222222222222223,1.2222222222222223
QThreshold,1,10,128,27,7.777777777777778,0,7.777777777777778,7.777777777777778
Random,1,10,128,27,13.777777777777779,0.0,13.777777777777779,13.777777777777779
RandomizedPmax,1,10,128,27,1.2222222222222223,0.0,1.2222222222222223,1.2222222222222223
FastGreedy,1,10,128,28,1.8,0,1.8,1.8
QThreshold,1,10,128,28,1.8,0,1.8,1.8
Random,1,10,128,28,9.6,0.0,9.6,9.6
RandomizedPmax,1,10,128,28,1.8,0.0,1.8,1.8
FastGreedy,1,10,128,29,2.388888888888889,0,2.388888888888889,2.388888888888889
QThreshold,1,10,128,29,1.3333333333333333,0,1.3333333333333333,1.3333333333333333
Random,1,10,128,29,4.833333333333333,0.0,4.833333333333333,4.833333333333333
RandomizedPmax,1,10,128,29,2.388888888888889,0.0,2.388888888888889,2.388888888888889
FastGreedy,1,10,128,30,1.0,0,1.0,1.0
QThreshold,1,10,128,30,1.6470588235294117,0,1.6470588235294117,1.6470588235294117
Random,1,10,128,30,3.9411764705882355,0.0,3.9411764705882355,3.9411764705882355
RandomizedPmax,1,10,128,30,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,31,1.0,0,1.0,1.0
QThreshold,1,10,128,31,2.0232558139534884,0,2.0232558139534884,2.0232558139534884
Random,1,10,128,31,1.0930232558139534,0.0,1.0930232558139534,1.0930232558139534
RandomizedPmax,1,10,128,31,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,32,1.0,0,1.0,1.0
QThreshold,1,10,128,32,13.75,0,13.75,13.75
Random,1,10,128,32,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,32,4.0,0.0,4.0,4.0
FastGreedy,1,10,128,33,1.0,0,1.0,1.0
QThreshold,1,10,128,33,7.333333333333333,0,7.333333333333333,7.333333333333333
Random,1,10,128,33,13.5,0.0,13.5,13.5
RandomizedPmax,1,10,128,33,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,34,4.5,0,4.5,4.5
QThreshold,1,10,128,34,2.3846153846153846,0,2.3846153846153846,2.3846153846153846
Random,1,10,128,34,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154
RandomizedPmax,1,10,128,34,4.5,0.0,4.5,4.5
FastGreedy,1,10,128,35,1.0,0,1.0,1.0
QThreshold,1,10,128,35,10.9,0,10.9,10.9
Random,1,10,128,35,10.3,0.0,10.3,10.3
RandomizedPmax,1,10,128,35,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,36,1.0,0,1.0,1.0
QThreshold,1,10,128,36,28.75,0,28.75,28.75
Random,1,10,128,36,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,36,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,37,1.0,0,1.0,1.0
QThreshold,1,10,128,37,11.9,0,11.9,11.9
Random,1,10,128,37,6.3,0.0,6.3,6.3
RandomizedPmax,1,10,128,37,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,38,1.8,0,1.8,1.8
QThreshold,1,10,128,38,3.9,0,3.9,3.9
Random,1,10,128,38,4.75,0.0,4.75,4.75
RandomizedPmax,1,10,128,38,1.8,0.0,1.8,1.8
FastGreedy,1,10,128,39,1.0,0,1.0,1.0
QThreshold,1,10,128,39,12.2,0,12.2,12.2
Random,1,10,128,39,11.6,0.0,11.6,11.6
RandomizedPmax,1,10,128,39,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,40,1.0,0,1.0,1.0
QThreshold,1,10,128,40,7.875,0,7.875,7.875
Random,1,10,128,40,7.375,0.0,7.375,7.375
RandomizedPmax,1,10,128,40,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,41,1.0,0,1.0,1.0
QThreshold,1,10,128,41,30.5,0,30.5,30.5
Random,1,10,128,41,12.0,0.0,12.0,12.0
RandomizedPmax,1,10,128,41,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,42,2.0,0,2.0,2.0
QThreshold,1,10,128,42,5.25,0,5.25,5.25
Random,1,10,128,42,6.0,0.0,6.0,6.0
RandomizedPmax,1,10,128,42,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,43,3.0689655172413794,0,3.0689655172413794,3.0689655172413794
QThreshold,1,10,128,43,4.103448275862069,0,4.103448275862069,4.103448275862069
Random,1,10,128,43,1.4482758620689655,0.0,1.4482758620689655,1.4482758620689655
RandomizedPmax,1,10,128,43,3.0689655172413794,0.0,3.0689655172413794,3.0689655172413794
FastGreedy,1,10,128,44,1.0,0,1.0,1.0
QThreshold,1,10,128,44,24.4,0,24.4,24.4
Random,1,10,128,44,11.6,0.0,11.6,11.6
RandomizedPmax,1,10,128,44,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,45,1.0,0,1.0,1.0
QThreshold,1,10,128,45,27.0,0,27.0,27.0
Random,1,10,128,45,111.0,0.0,111.0,111.0
RandomizedPmax,1,10,128,45,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,46,1.0,0,1.0,1.0
QThreshold,1,10,128,46,8.6,0,8.6,8.6
Random,1,10,128,46,16.2,0.0,16.2,16.2
RandomizedPmax,1,10,128,46,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,47,1.0,0,1.0,1.0
QThreshold,1,10,128,47,8.666666666666666,0,8.666666666666666,8.666666666666666
Random,1,10,128,47,19.833333333333332,0.0,19.833333333333332,19.833333333333332
RandomizedPmax,1,10,128,47,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,48,1.0,0,1.0,1.0
QThreshold,1,10,128,48,2.230769230769231,0,2.230769230769231,2.230769230769231
Random,1,10,128,48,8.461538461538462,0.0,8.461538461538462,8.461538461538462
